epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,7839.55,0.98834,0.44785,0.98858,0.89237,0.83401,0.89827,0.60721,1.13373,0.4837,1.05329,0.001783,0.001783,0.001783
85,7932.66,0.98434,0.44578,0.98862,0.89156,0.83474,0.89828,0.60684,1.13394,0.48392,1.05345,0.001684,0.001684,0.001684
86,8027.07,0.97878,0.44077,0.98482,0.89428,0.83193,0.89794,0.60673,1.13424,0.4841,1.05357,0.001585,0.001585,0.001585
87,8120.17,0.98014,0.44179,0.98944,0.89177,0.83309,0.898,0.60655,1.13458,0.48408,1.05382,0.001486,0.001486,0.001486
88,8215.18,0.9711,0.43982,0.98016,0.89094,0.83406,0.89803,0.60619,1.13493,0.48424,1.05406,0.001387,0.001387,0.001387
89,8309.55,0.96446,0.43229,0.97932,0.89102,0.83353,0.89807,0.60632,1.13531,0.4846,1.05419,0.001288,0.001288,0.001288
90,8403.21,0.96934,0.4322,0.98135,0.89061,0.83377,0.89806,0.60621,1.13585,0.48489,1.05451,0.001189,0.001189,0.001189
91,8497.27,0.95666,0.39804,0.96895,0.88946,0.83443,0.89767,0.60607,1.13615,0.48523,1.05458,0.00109,0.00109,0.00109
92,8591.14,0.94676,0.39104,0.96545,0.88839,0.83484,0.89723,0.60602,1.13643,0.48547,1.05474,0.000991,0.000991,0.000991
93,8684.42,0.9437,0.38679,0.96395,0.88854,0.83455,0.89685,0.60584,1.13657,0.48581,1.05501,0.000892,0.000892,0.000892
94,8777.21,0.93783,0.38428,0.96117,0.88779,0.83503,0.89678,0.60579,1.13706,0.48625,1.05526,0.000793,0.000793,0.000793
95,8870.35,0.93559,0.38152,0.96079,0.88898,0.83427,0.89676,0.60526,1.13735,0.48672,1.05548,0.000694,0.000694,0.000694
96,8963.35,0.93017,0.37794,0.95937,0.8894,0.83388,0.89652,0.60514,1.13758,0.48708,1.0557,0.000595,0.000595,0.000595
97,9056.59,0.92673,0.37586,0.95693,0.89188,0.83086,0.89638,0.60508,1.13797,0.48711,1.05584,0.000496,0.000496,0.000496
98,9149.87,0.92376,0.37427,0.95723,0.8922,0.83011,0.89607,0.60518,1.13817,0.48748,1.05582,0.000397,0.000397,0.000397
99,9243.45,0.92177,0.37269,0.95789,0.89317,0.82989,0.89605,0.60519,1.13853,0.48783,1.056,0.000298,0.000298,0.000298
100,9336.5,0.91754,0.36983,0.95519,0.89347,0.82921,0.89555,0.60461,1.13875,0.48817,1.05618,0.000199,0.000199,0.000199
